datetime_utc,date,hour,minute,price_eur_mwh
2024-05-24 13:30:00,2024-05-24,13,30,162.31
2024-05-24 13:45:00,2024-05-24,13,45,177.40
2024-05-24 14:00:00,2024-05-24,14,0,271.37
2024-05-24 14:15:00,2024-05-24,14,15,239.00
2024-05-24 14:30:00,2024-05-24,14,30,273.89
2024-05-24 14:45:00,2024-05-24,14,45,308.32
2024-05-24 15:00:00,2024-05-24,15,0,156.88
2024-05-24 15:15:00,2024-05-24,15,15,90.00
2024-05-24 15:30:00,2024-05-24,15,30,109.99
2024-05-24 15:45:00,2024-05-24,15,45,107.81
2024-05-24 16:00:00,2024-05-24,16,0,64.61
2024-05-24 16:15:00,2024-05-24,16,15,90.00
2024-05-24 16:30:00,2024-05-24,16,30,108.85
2024-05-24 16:45:00,2024-05-24,16,45,120.54
2024-05-24 17:00:00,2024-05-24,17,0,196.01
2024-05-24 17:15:00,2024-05-24,17,15,243.01
2024-05-24 17:30:00,2024-05-24,17,30,131.82
2024-05-24 17:45:00,2024-05-24,17,45,127.89
2024-05-24 18:00:00,2024-05-24,18,0,117.27
2024-05-24 18:15:00,2024-05-24,18,15,92.72
2024-05-24 18:30:00,2024-05-24,18,30,92.72
2024-05-24 18:45:00,2024-05-24,18,45,92.72
2024-05-24 19:00:00,2024-05-24,19,0,92.01
2024-05-24 19:15:00,2024-05-24,19,15,91.51
2024-05-24 19:30:00,2024-05-24,19,30,67.16
2024-05-24 19:45:00,2024-05-24,19,45,67.16
2024-05-24 20:00:00,2024-05-24,20,0,90.16
2024-05-24 20:15:00,2024-05-24,20,15,68.16
2024-05-24 20:30:00,2024-05-24,20,30,68.12
2024-05-24 20:45:00,2024-05-24,20,45,148.98
2024-05-24 21:00:00,2024-05-24,21,0,87.66
2024-05-24 21:15:00,2024-05-24,21,15,64.44
2024-05-24 21:30:00,2024-05-24,21,30,92.66
2024-05-24 21:45:00,2024-05-24,21,45,0.00
2024-05-24 22:00:00,2024-05-24,22,0,73.00
2024-05-24 22:15:00,2024-05-24,22,15,163.72
2024-05-24 22:30:00,2024-05-24,22,30,51.58
2024-05-24 22:45:00,2024-05-24,22,45,-603.84
2024-05-24 23:00:00,2024-05-24,23,0,226.49
2024-05-24 23:15:00,2024-05-24,23,15,279.84
2024-05-24 23:30:00,2024-05-24,23,30,175.36
2024-05-24 23:45:00,2024-05-24,23,45,204.34
2024-05-25 00:00:00,2024-05-25,0,0,323.03
2024-05-25 00:15:00,2024-05-25,0,15,325.79
2024-05-25 00:30:00,2024-05-25,0,30,243.21
2024-05-25 00:45:00,2024-05-25,0,45,243.71
2024-05-25 01:00:00,2024-05-25,1,0,252.12
2024-05-25 01:15:00,2024-05-25,1,15,265.14
2024-05-25 01:30:00,2024-05-25,1,30,224.13
2024-05-25 01:45:00,2024-05-25,1,45,-417.77
2024-05-25 02:00:00,2024-05-25,2,0,198.24
2024-05-25 02:15:00,2024-05-25,2,15,258.79
2024-05-25 02:30:00,2024-05-25,2,30,154.05
2024-05-25 02:45:00,2024-05-25,2,45,120.42
2024-05-25 03:00:00,2024-05-25,3,0,311.68
2024-05-25 03:15:00,2024-05-25,3,15,49.50
2024-05-25 03:30:00,2024-05-25,3,30,-366.25
2024-05-25 03:45:00,2024-05-25,3,45,-341.17
2024-05-25 04:00:00,2024-05-25,4,0,47.50
2024-05-25 04:15:00,2024-05-25,4,15,139.59
2024-05-25 04:30:00,2024-05-25,4,30,141.77
2024-05-25 04:45:00,2024-05-25,4,45,187.16
2024-05-25 05:00:00,2024-05-25,5,0,185.37
2024-05-25 05:15:00,2024-05-25,5,15,146.81
2024-05-25 05:30:00,2024-05-25,5,30,141.72
2024-05-25 05:45:00,2024-05-25,5,45,47.50
2024-05-25 06:00:00,2024-05-25,6,0,-380.59
2024-05-25 06:15:00,2024-05-25,6,15,-539.43
2024-05-25 06:30:00,2024-05-25,6,30,38.00
2024-05-25 06:45:00,2024-05-25,6,45,35.50
2024-05-25 07:00:00,2024-05-25,7,0,78.75
2024-05-25 07:15:00,2024-05-25,7,15,75.00
2024-05-25 07:30:00,2024-05-25,7,30,75.00
2024-05-25 07:45:00,2024-05-25,7,45,83.48
